name,component,xval,yval,scale
bar--16mm,01,0.108,0.105,0.8
conn-USB,02,0.3,0.11,1.2
bar--12mm,03,0.498,0.112,0.6
rod--12mm,04,0.693,0.105,0.7
nut--M8,05,0.884,0.112,0.6
rod--8mm,06,0.104,0.307,0.6
conn-WP,07,0.498,0.295,1.6
rod--4mm,08,0.104,0.506,0.5
conn-BNC,09,0.28,0.506,0.7
bar--4mm,10,0.494,0.502,0.5
nut--M4,11,0.693,0.502,0.5
gear-Lg,12,0.88,0.359,1.4
gear-Md,13,0.88,0.494,0.9
gear-Sm,14,0.88,0.582,0.6
nut--M12,15,0.1,0.705,0.7
bar--8mm,16,0.303,0.705,0.5
conn-DSUB,17,0.498,0.693,1.4
rod--16mm,18,0.697,0.701,0.7
conn-RJ45,19,0.088,0.9,0.8
nut--M16,20,0.888,0.9,0.8
